,mean,sd,eti94_lb,eti94_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
start_probs[0],0.09385337745750977,0.007483882113092365,0.08253441477679671,0.10493187489492452,2.3307148399854607,5.663620487401881,2.8653083267076886,0.005099284471939607,0.002218219263917021
start_probs[1],0.1518561256410729,0.1059410626849249,0.043629437392053196,0.2761918753233666,2.3510890949627874,5.174567582708827,2.7802737837486493,0.07429913984201056,0.006546607413488453
start_probs[2],0.1498193834215107,0.03220792154758127,0.11035885081058322,0.20347888068405864,2.6184925181335923,5.920004356687477,2.179643462972093,0.020765546173231494,0.007553421713062759
start_probs[3],0.18177727050297987,0.09085700191667653,0.08745811570790595,0.3063821526291488,2.2941935785850505,5.222083106114696,3.032416267099763,0.06355714837114898,0.012217552666398361
start_probs[4],0.4226938429769268,0.06246205781121293,0.32941269053546646,0.5136454411634287,2.6147094777307434,6.125535615313446,2.156331567579621,0.04065510761934046,0.015436210831727219
"trans_mat[0, 0]",0.905612920276599,0.05405484113274204,0.8503418370667662,0.9602819209721363,2.590755618470774,5.9178940638515645,2.2384456305880818,0.0379335181048694,0.0005540311176736738
"trans_mat[0, 1]",0.030835223541934867,0.02307480774569268,0.007363580341030156,0.054295033166190776,2.4946430195793745,5.1348611226548115,2.4060279527140462,0.01619281525509921,0.00021579759000902305
"trans_mat[0, 2]",0.009246931692372057,0.007702690616067587,0.001524331551808289,0.017015962165864984,2.826378650667052,10.731930181738894,1.9405024511773303,0.005405530771944763,2.7779727483897805e-05
"trans_mat[0, 3]",0.04216290950034644,0.02217617085908616,0.019447178674921285,0.06510808088529388,2.572788982034263,6.591625790205448,2.229115835090171,0.01556162820639156,0.0003488021330938604
"trans_mat[0, 4]",0.012142014988747703,0.0011316893409891412,0.010486213592153263,0.013372460396168162,2.6440905697513775,8.995465530203898,2.177464562238743,0.000782810109152042,0.00017578038612274516
"trans_mat[1, 0]",0.009712369526574031,0.0057223992694246315,0.003587757186731814,0.015587676180865597,2.8849705485671016,12.782270652464838,1.874481514710791,0.004013850911665471,0.0001438373324664251
